"","UNITID","total_students_in_school_sample","total_debt_in_school_sample","school_average_student_debt","INSTNM","UGDS","TUITIONFEE_IN","LONGITUDE","LATITUDE"
"58",217882,3180,72066425,22662.3977987421,"Clemson University",20074,15558,-82.835114,34.679381
"59",218663,6627,157829289,23816.0991398823,"University of South Carolina-Columbia",27066,12688,-81.026935,33.996788
"60",219356,1087,28996117,26675.360625575,"South Dakota State University",9034,9114,-96.782139,44.317485
"61",219471,980,27984430,28555.5408163265,"University of South Dakota",5998,9332,-96.925283,42.786019
"62",221759,3840,82971743,21607.2247395833,"The University of Tennessee-Knoxville",23152,13264,-83.925852,35.952082
"63",225511,6773,160308584,23668.7707072198,"University of Houston",37631,9221,-95.343537,29.720393
"64",228723,8230,161373642,19607.9759416768,"Texas A & M University-College Station",53119,12153,-96.336475,30.618726
"65",228778,7746,162729104,21008.1466563388,"The University of Texas at Austin",39783,10824,-97.738273,30.282825
"66",229115,5584,137726816,24664.5444126075,"Texas Tech University",31172,9300,-101.874783,33.583448
"67",230764,3848,88264082,22937.6512474012,"University of Utah",23432,8615,-111.846044,40.762484
"68",231174,1574,33396363,21217.5114358323,"University of Vermont",10700,18802,-73.196646,44.477325
"69",234076,1997,35970122,18012.079118678,"University of Virginia-Main Campus",16723,17798,-78.503428,38.035665
"70",236939,5108,119981610,23488.9604541895,"Washington State University",25653,11841,-117.158168,46.730448
"71",236948,6376,117033369,18355.2962672522,"University of Washington-Seattle Campus",30839,11465,-122.30514,47.65538
"72",238032,4335,107978073,24908.4366782007,"West Virginia University",20272,8976,-79.954391,39.634371
"73",240444,4748,100231888,21110.3386689132,"University of Wisconsin-Madison",31185,10725,-89.404098,43.075409
"74",240727,1672,37054219,22161.6142344498,"University of Wyoming",9646,5581,-105.57931,41.311773
